"Notes"	"Cause of death"	"Cause of death Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Acute upper respiratory infection, unspecified"	"J06.9"	"California"	"06"	"2020 "	"2020"	11	39368078	Unreliable
	"Acute upper respiratory infection, unspecified"	"J06.9"	"New York"	"36"	"2020 "	"2020"	16	19336776	Unreliable
	"Influenza due to identified avian influenza virus"	"J09"	"California"	"06"	"2020 "	"2020"	15	39368078	Unreliable
	"Influenza due to identified avian influenza virus"	"J09"	"Colorado"	"08"	"2020 "	"2020"	11	5807719	Unreliable
	"Influenza due to identified avian influenza virus"	"J09"	"Florida"	"12"	"2020 "	"2020"	16	21733312	Unreliable
	"Influenza due to identified avian influenza virus"	"J09"	"New Mexico"	"35"	"2020 "	"2020"	13	2106319	Unreliable
	"Influenza due to identified avian influenza virus"	"J09"	"North Carolina"	"37"	"2020 "	"2020"	14	10600823	Unreliable
	"Influenza due to identified avian influenza virus"	"J09"	"Pennsylvania"	"42"	"2020 "	"2020"	10	12783254	Unreliable
	"Influenza due to identified avian influenza virus"	"J09"	"Texas"	"48"	"2020 "	"2020"	12	29360759	Unreliable
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Alabama"	"01"	"2020 "	"2020"	28	4921532	0.6
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Arizona"	"04"	"2020 "	"2020"	38	7421401	0.5
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Arkansas"	"05"	"2020 "	"2020"	17	3030522	Unreliable
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"California"	"06"	"2020 "	"2020"	252	39368078	0.6
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Colorado"	"08"	"2020 "	"2020"	18	5807719	Unreliable
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Connecticut"	"09"	"2020 "	"2020"	12	3557006	Unreliable
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Florida"	"12"	"2020 "	"2020"	95	21733312	0.4
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Georgia"	"13"	"2020 "	"2020"	29	10710017	0.3
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Idaho"	"16"	"2020 "	"2020"	10	1826913	Unreliable
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Illinois"	"17"	"2020 "	"2020"	36	12587530	0.3
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Indiana"	"18"	"2020 "	"2020"	39	6754953	0.6
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Iowa"	"19"	"2020 "	"2020"	14	3163561	Unreliable
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Kansas"	"20"	"2020 "	"2020"	22	2913805	0.8
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Kentucky"	"21"	"2020 "	"2020"	30	4477251	0.7
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Louisiana"	"22"	"2020 "	"2020"	17	4645318	Unreliable
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Maine"	"23"	"2020 "	"2020"	11	1350141	Unreliable
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Maryland"	"24"	"2020 "	"2020"	29	6055802	0.5
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Massachusetts"	"25"	"2020 "	"2020"	36	6893574	0.5
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Michigan"	"26"	"2020 "	"2020"	57	9966555	0.6
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Minnesota"	"27"	"2020 "	"2020"	44	5657342	0.8
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Mississippi"	"28"	"2020 "	"2020"	13	2966786	Unreliable
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Missouri"	"29"	"2020 "	"2020"	32	6151548	0.5
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Nebraska"	"31"	"2020 "	"2020"	14	1937552	Unreliable
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Nevada"	"32"	"2020 "	"2020"	18	3138259	Unreliable
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"New Jersey"	"34"	"2020 "	"2020"	20	8882371	0.2
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"New Mexico"	"35"	"2020 "	"2020"	18	2106319	Unreliable
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"New York"	"36"	"2020 "	"2020"	66	19336776	0.3
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"North Carolina"	"37"	"2020 "	"2020"	49	10600823	0.5
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"North Dakota"	"38"	"2020 "	"2020"	11	765309	Unreliable
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Ohio"	"39"	"2020 "	"2020"	77	11693217	0.7
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Oklahoma"	"40"	"2020 "	"2020"	44	3980783	1.1
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Oregon"	"41"	"2020 "	"2020"	23	4241507	0.5
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Pennsylvania"	"42"	"2020 "	"2020"	60	12783254	0.5
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Tennessee"	"47"	"2020 "	"2020"	50	6886834	0.7
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Texas"	"48"	"2020 "	"2020"	113	29360759	0.4
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Utah"	"49"	"2020 "	"2020"	10	3249879	Unreliable
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Virginia"	"51"	"2020 "	"2020"	18	8590563	Unreliable
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Washington"	"53"	"2020 "	"2020"	44	7693612	0.6
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"West Virginia"	"54"	"2020 "	"2020"	19	1784787	Unreliable
	"Influenza with pneumonia, influenza virus identified"	"J10.0"	"Wisconsin"	"55"	"2020 "	"2020"	43	5832655	0.7
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Alabama"	"01"	"2020 "	"2020"	25	4921532	0.5
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Arizona"	"04"	"2020 "	"2020"	23	7421401	0.3
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Arkansas"	"05"	"2020 "	"2020"	20	3030522	0.7
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"California"	"06"	"2020 "	"2020"	251	39368078	0.6
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Colorado"	"08"	"2020 "	"2020"	23	5807719	0.4
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Connecticut"	"09"	"2020 "	"2020"	29	3557006	0.8
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Florida"	"12"	"2020 "	"2020"	87	21733312	0.4
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Georgia"	"13"	"2020 "	"2020"	33	10710017	0.3
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Illinois"	"17"	"2020 "	"2020"	46	12587530	0.4
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Indiana"	"18"	"2020 "	"2020"	32	6754953	0.5
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Iowa"	"19"	"2020 "	"2020"	33	3163561	1.0
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Kansas"	"20"	"2020 "	"2020"	25	2913805	0.9
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Kentucky"	"21"	"2020 "	"2020"	28	4477251	0.6
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Louisiana"	"22"	"2020 "	"2020"	22	4645318	0.5
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Maryland"	"24"	"2020 "	"2020"	21	6055802	0.3
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Massachusetts"	"25"	"2020 "	"2020"	30	6893574	0.4
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Michigan"	"26"	"2020 "	"2020"	76	9966555	0.8
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Minnesota"	"27"	"2020 "	"2020"	35	5657342	0.6
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Missouri"	"29"	"2020 "	"2020"	50	6151548	0.8
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Montana"	"30"	"2020 "	"2020"	13	1080577	Unreliable
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Nebraska"	"31"	"2020 "	"2020"	11	1937552	Unreliable
